entertainment,Entertainment
pub,Entertainment
travel,Entertainment
cash,Finance
cheque,Finance
deposit,Finance
eTransfer,Finance
fee,Finance
loan,Finance
investment,Transfer
transfer,Transfer
breakfastCoffee,Food
fastfood,Food
grocery,Food
restaurant,Food
homeExpense,Housing
homeInsurance,Housing
mortgage,Housing
rent,Housing
utility,Housing
expensing,Income
google,Income
income,Income
rentalIncome,Income
tax,Income
charity,Misc
dr,Misc
education,Misc
lifeInsurance,Misc
misc,Misc
personal,Misc
clothing,Shopping
health,Shopping
onlineShop,Shopping
pets,Shopping
shopping,Shopping
kids,Shopping
auto,Transportation
autoLease,Transportation
autoInsurance,Transportation
transportation,Transportation